| 動作 | [可見] | [穩定] | [接收事件] | [啟用] | [可編輯] |
| :- | :-: | :-: | :-: | :-: | :-: |
| [locator.check()](/api/class-locator#locator-check) | 是 | 是 | 是 | 是 | - |
| [locator.click()](/api/class-locator#locator-click) | 是 | 是 | 是 | 是 | - |
| [locator.dblclick()](/api/class-locator#locator-dblclick) | 是 | 是 | 是 | 是 | - |
| [locator.set_checked()](/api/class-locator#locator-set-checked) | 是 | 是 | 是 | 是 | - |
| [locator.tap()](/api/class-locator#locator-tap) | 是 | 是 | 是 | 是 | - |
| [locator.uncheck()](/api/class-locator#locator-uncheck) | 是 | 是 | 是 | 是 | - |
| [locator.hover()](/api/class-locator#locator-hover) | 是 | 是 | 是 | - | - |
| [locator.drag_to()](/api/class-locator#locator-drag-to) | 是 | 是 | 是 | - | - |
| [locator.screenshot()](/api/class-locator#locator-screenshot) | 是 | 是 | - | - | - |
| [locator.fill()](/api/class-locator#locator-fill) | 是 | - | - | 是 | 是 |
| [locator.clear()](/api/class-locator#locator-clear) | 是 | - | - | 是 | 是 |
| [locator.select_option()](/api/class-locator#locator-select-option) | 是 | - | - | 是 | - |
| [locator.select_text()](/api/class-locator#locator-select-text) | 是 | - | - | - | - |
| [locator.scroll_into_view_if_needed()](/api/class-locator#locator-scroll-into-view-if-needed) | - | 是 | - | - | - |
| [locator.blur()](/api/class-locator#locator-blur) | - | - | - | - | - |
| [locator.dispatch_event()](/api/class-locator#locator-dispatch-event) | - | - | - | - | - |
| [locator.focus()](/api/class-locator#locator-focus) | - | - | - | - | - |
| [locator.press()](/api/class-locator#locator-press) | - | - | - | - | - |
| [locator.press_sequentially()](/api/class-locator#locator-press-sequentially) | - | - | - | - | - |
| [locator.set_input_files()](/api/class-locator#locator-set-input-files) | - | - | - | - | - |
