| Action | [Visible] | [Stable] | [Receives Events] | [Enabled] | [Editable] |
| :- | :-: | :-: | :-: | :-: | :-: |
| [locator.check()](/api/class-locator#locator-check) | Yes | Yes | Yes | Yes | - |
| [locator.click()](/api/class-locator#locator-click) | Yes | Yes | Yes | Yes | - |
| [locator.dblclick()](/api/class-locator#locator-dblclick) | Yes | Yes | Yes | Yes | - |
| [locator.setChecked()](/api/class-locator#locator-set-checked) | Yes | Yes | Yes | Yes | - |
| [locator.tap()](/api/class-locator#locator-tap) | Yes | Yes | Yes | Yes | - |
| [locator.uncheck()](/api/class-locator#locator-uncheck) | Yes | Yes | Yes | Yes | - |
| [locator.hover()](/api/class-locator#locator-hover) | Yes | Yes | Yes | - | - |
| [locator.dragTo()](/api/class-locator#locator-drag-to) | Yes | Yes | Yes | - | - |
| [locator.screenshot()](/api/class-locator#locator-screenshot) | Yes | Yes | - | - | - |
| [locator.fill()](/api/class-locator#locator-fill) | Yes | - | - | Yes | Yes |
| [locator.clear()](/api/class-locator#locator-clear) | Yes | - | - | Yes | Yes |
| [locator.selectOption()](/api/class-locator#locator-select-option) | Yes | - | - | Yes | - |
| [locator.selectText()](/api/class-locator#locator-select-text) | Yes | - | - | - | - |
| [locator.scrollIntoViewIfNeeded()](/api/class-locator#locator-scroll-into-view-if-needed) | - | Yes | - | - | - |
| [locator.blur()](/api/class-locator#locator-blur) | - | - | - | - | - |
| [locator.dispatchEvent()](/api/class-locator#locator-dispatch-event) | - | - | - | - | - |
| [locator.focus()](/api/class-locator#locator-focus) | - | - | - | - | - |
| [locator.press()](/api/class-locator#locator-press) | - | - | - | - | - |
| [locator.pressSequentially()](/api/class-locator#locator-press-sequentially) | - | - | - | - | - |
| [locator.setInputFiles()](/api/class-locator#locator-set-input-files) | - | - | - | - | - |
