| Action | [Visible] | [Stable] | [Receives Events] | [Enabled] | [Editable] |
| :- | :-: | :-: | :-: | :-: | :-: |
| [Locator.check()](https://api/class-locator.mdx#locator-check) | Yes | Yes | Yes | Yes | - |
| [Locator.click()](https://api/class-locator.mdx#locator-click) | Yes | Yes | Yes | Yes | - |
| [Locator.dblclick()](https://api/class-locator.mdx#locator-dblclick) | Yes | Yes | Yes | Yes | - |
| [Locator.setChecked()](https://api/class-locator.mdx#locator-set-checked) | Yes | Yes | Yes | Yes | - |
| [Locator.tap()](https://api/class-locator.mdx#locator-tap) | Yes | Yes | Yes | Yes | - |
| [Locator.uncheck()](https://api/class-locator.mdx#locator-uncheck) | Yes | Yes | Yes | Yes | - |
| [Locator.hover()](https://api/class-locator.mdx#locator-hover) | Yes | Yes | Yes | - | - |
| [Locator.dragTo()](https://api/class-locator.mdx#locator-drag-to) | Yes | Yes | Yes | - | - |
| [Locator.screenshot()](https://api/class-locator.mdx#locator-screenshot) | Yes | Yes | - | - | - |
| [Locator.fill()](https://api/class-locator.mdx#locator-fill) | Yes | - | - | Yes | Yes |
| [Locator.clear()](https://api/class-locator.mdx#locator-clear) | Yes | - | - | Yes | Yes |
| [Locator.selectOption()](https://api/class-locator.mdx#locator-select-option) | Yes | - | - | Yes | - |
| [Locator.selectText()](https://api/class-locator.mdx#locator-select-text) | Yes | - | - | - | - |
| [Locator.scrollIntoViewIfNeeded()](https://api/class-locator.mdx#locator-scroll-into-view-if-needed) | - | Yes | - | - | - |
| [Locator.blur()](https://api/class-locator.mdx#locator-blur) | - | - | - | - | - |
| [Locator.dispatchEvent()](https://api/class-locator.mdx#locator-dispatch-event) | - | - | - | - | - |
| [Locator.focus()](https://api/class-locator.mdx#locator-focus) | - | - | - | - | - |
| [Locator.press()](https://api/class-locator.mdx#locator-press) | - | - | - | - | - |
| [Locator.pressSequentially()](https://api/class-locator.mdx#locator-press-sequentially) | - | - | - | - | - |
| [Locator.setInputFiles()](https://api/class-locator.mdx#locator-set-input-files) | - | - | - | - | - |
