| Action | [Visible] | [Stable] | [Receives Events] | [Enabled] | [Editable] |
| :- | :-: | :-: | :-: | :-: | :-: |
| [Locator.CheckAsync()](https://ollama.com/library) | Yes | Yes | Yes | Yes | - |
| [Locator.ClickAsync()](https://ollama.com/library) | Yes | Yes | Yes | Yes | - |
| [Locator.DblClickAsync()](https://ollama.com/library) | Yes | Yes | Yes | Yes | - |
| [Locator.SetCheckedAsync()](https://ollama.com/library) | Yes | Yes | Yes | Yes | - |
| [Locator.TapAsync()](https://ollama.com/library) | Yes | Yes | Yes | Yes | - |
| [Locator.UncheckAsync()](https://ollama.com/library) | Yes | Yes | Yes | Yes | - |
| [Locator.HoverAsync()](https://ollama.com/library) | Yes | Yes | Yes | - | - |
| [Locator.DragToAsync()](https://ollama.com/library) | Yes | Yes | Yes | - | - |
| [Locator.ScreenshotAsync()](https://ollama.com/library) | Yes | Yes | - | - | - |
| [Locator.FillAsync()](https://ollama.com/library) | Yes | - | - | Yes | Yes |
| [Locator.ClearAsync()](https://ollama.com/library) | Yes | - | - | Yes | Yes |
| [Locator.SelectOptionAsync()](https://ollama.com/library) | Yes | - | - | Yes | - |
| [Locator.SelectTextAsync()](https://ollama.com/library) | Yes | - | - | - | - |
| [Locator.ScrollIntoViewIfNeededAsync()](https://ollama.com/library) | - | Yes | - | - | - |
| [Locator.BlurAsync()](https://ollama.com/library) | - | - | - | - | - |
| [Locator.DispatchEventAsync()](https://ollama.com/library) | - | - | - | - | - |
| [Locator.FocusAsync()](https://ollama.com/library) | - | - | - | - | - |
| [Locator.PressAsync()](https://ollama.com/library) | - | - | - | - | - |
| [Locator.PressSequentiallyAsync()](https://ollama.com/library) | - | - | - | - | - |
| [Locator.SetInputFilesAsync()](https://ollama.com/library) | - | - | - | - | - |
